parameter_name,action,experiment,exp.py,type
AcqInterval__s,PSTAT___run_CA,ADSS_slave_CA,ADSS_exp,adss
AcqInterval__s,PSTAT___run_OCV,ADSS_slave_CA,ADSS_exp,adss
AcqInterval__s,PSTAT___run_CA,ANEC_slave_CA,ANEC_exp,anec
AcqInterval__s,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
AcqInterval__s,PSTAT___run_CA,ANEC_slave_photo_CA,ANEC_exp,anec
AcqInterval__s,PSTAT___run_CA,ECHE_slave_CA,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CA,ECHE_slave_CA_led,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CA,ECHE_slave_CA_led_secondtrigger,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CP,ECHE_slave_CP,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CP,ECHE_slave_CP_led,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CP,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CP,ECHE_slave_background,ECHE_exp,eche
AcqInterval__s,PSTAT___run_CP,SIM_measure_CP,simulate_exp,simulate
AcqInterval__s,PSTAT___run_OCV,debug,ADSS_exp,adss
CA_duration_sec,__EXP__,ADSS_slave_CA,ADSS_exp,adss
CA_duration_sec,__EXP__,ANEC_slave_CA,ANEC_exp,anec
CA_duration_sec,__EXP__,ANEC_slave_photo_CA,ANEC_exp,anec
CA_duration_sec,__EXP__,ECHE_slave_CA,ECHE_exp,eche
CA_duration_sec,__EXP__,ECHE_slave_CA_led,ECHE_exp,eche
CA_duration_sec,__EXP__,ECHE_slave_CA_led_secondtrigger,ECHE_exp,eche
CA_potential,__EXP__,ADSS_slave_CA,ADSS_exp,adss
CA_potential_vsRHE,__EXP__,ECHE_slave_CA,ECHE_exp,eche
CA_potential_vsRHE,__EXP__,ECHE_slave_CA_led,ECHE_exp,eche
CA_potential_vsRHE,__EXP__,ECHE_slave_CA_led_secondtrigger,ECHE_exp,eche
CP_current,__EXP__,ECHE_slave_CP,ECHE_exp,eche
CP_current,__EXP__,ECHE_slave_CP_led,ECHE_exp,eche
CP_current,__EXP__,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
CP_current,__EXP__,ECHE_slave_background,ECHE_exp,eche
CP_duration_sec,__EXP__,ECHE_slave_CP,ECHE_exp,eche
CP_duration_sec,__EXP__,ECHE_slave_CP_led,ECHE_exp,eche
CP_duration_sec,__EXP__,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
Cycles,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
Cycles,__EXP__,ANEC_slave_CV,ANEC_exp,anec
Cycles,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
Cycles,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
Cycles,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
GC_analysis_time,__EXP__,ANEC_slave_GCLiquid_analysis,ANEC_exp,anec
HPLC_analysis_time,__EXP__,ANEC_slave_HPLCLiquid_analysis,ANEC_exp,anec
IErange,PSTAT___run_CA,ADSS_slave_CA,ADSS_exp,adss
IErange,PSTAT___run_OCV,ADSS_slave_CA,ADSS_exp,adss
IErange,PSTAT___run_CA,ANEC_slave_CA,ANEC_exp,anec
IErange,__EXP__,ANEC_slave_CA,ANEC_exp,anec
IErange,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
IErange,__EXP__,ANEC_slave_CV,ANEC_exp,anec
IErange,PSTAT___run_CA,ANEC_slave_photo_CA,ANEC_exp,anec
IErange,__EXP__,ANEC_slave_photo_CA,ANEC_exp,anec
IErange,PSTAT___run_CA,ECHE_slave_CA,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_CA,ECHE_exp,eche
IErange,PSTAT___run_CA,ECHE_slave_CA_led,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_CA_led,ECHE_exp,eche
IErange,PSTAT___run_CA,ECHE_slave_CA_led_secondtrigger,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_CA_led_secondtrigger,ECHE_exp,eche
IErange,PSTAT___run_CP,ECHE_slave_CP,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_CP,ECHE_exp,eche
IErange,PSTAT___run_CP,ECHE_slave_CP_led,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_CP_led,ECHE_exp,eche
IErange,PSTAT___run_CP,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
IErange,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_CV,ECHE_exp,eche
IErange,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_CV_led,ECHE_exp,eche
IErange,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
IErange,PSTAT___run_CP,ECHE_slave_background,ECHE_exp,eche
IErange,__EXP__,ECHE_slave_background,ECHE_exp,eche
IErange,PSTAT___run_OCV,debug,ADSS_exp,adss
Ival,PSTAT___run_CP,SIM_measure_CP,simulate_exp,simulate
Ival__A,PSTAT___run_CP,ECHE_slave_CP,ECHE_exp,eche
Ival__A,PSTAT___run_CP,ECHE_slave_CP_led,ECHE_exp,eche
Ival__A,PSTAT___run_CP,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
Ival__A,PSTAT___run_CP,ECHE_slave_background,ECHE_exp,eche
OCV_duration_sec,__EXP__,ADSS_slave_CA,ADSS_exp,adss
SampleRate,PSTAT___run_CA,ADSS_slave_CA,ADSS_exp,adss
SampleRate,PSTAT___run_CA,ANEC_slave_CA,ANEC_exp,anec
SampleRate,__EXP__,ANEC_slave_CA,ANEC_exp,anec
SampleRate,__EXP__,ANEC_slave_CV,ANEC_exp,anec
SampleRate,PSTAT___run_CA,ANEC_slave_photo_CA,ANEC_exp,anec
SampleRate,__EXP__,ANEC_slave_photo_CA,ANEC_exp,anec
SampleRate,PSTAT___run_CA,ECHE_slave_CA,ECHE_exp,eche
SampleRate,PSTAT___run_CA,ECHE_slave_CA_led,ECHE_exp,eche
SampleRate,PSTAT___run_CA,ECHE_slave_CA_led_secondtrigger,ECHE_exp,eche
SampleRate,PSTAT___run_CP,ECHE_slave_CP,ECHE_exp,eche
SampleRate,PSTAT___run_CP,ECHE_slave_CP_led,ECHE_exp,eche
SampleRate,PSTAT___run_CP,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
SampleRate,PSTAT___run_CP,ECHE_slave_background,ECHE_exp,eche
ScanRate_V_s,__EXP__,ANEC_slave_CV,ANEC_exp,anec
ScanRate__V_s,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
ScanRate__V_s,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
ScanRate__V_s,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
ScanRate__V_s,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
TTLsend,PSTAT___run_CA,ADSS_slave_CA,ADSS_exp,adss
TTLsend,PSTAT___run_OCV,ADSS_slave_CA,ADSS_exp,adss
TTLsend,PSTAT___run_CA,ANEC_slave_CA,ANEC_exp,anec
TTLsend,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
TTLsend,PSTAT___run_CA,ANEC_slave_photo_CA,ANEC_exp,anec
TTLsend,PSTAT___run_CA,ECHE_slave_CA,ECHE_exp,eche
TTLsend,PSTAT___run_CA,ECHE_slave_CA_led,ECHE_exp,eche
TTLsend,PSTAT___run_CA,ECHE_slave_CA_led_secondtrigger,ECHE_exp,eche
TTLsend,PSTAT___run_CP,ECHE_slave_CP,ECHE_exp,eche
TTLsend,PSTAT___run_CP,ECHE_slave_CP_led,ECHE_exp,eche
TTLsend,PSTAT___run_CP,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
TTLsend,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
TTLsend,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
TTLsend,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
TTLsend,PSTAT___run_CP,ECHE_slave_background,ECHE_exp,eche
TTLsend,PSTAT___run_OCV,debug,ADSS_exp,adss
TTLwait,PSTAT___run_CA,ADSS_slave_CA,ADSS_exp,adss
TTLwait,PSTAT___run_OCV,ADSS_slave_CA,ADSS_exp,adss
TTLwait,PSTAT___run_CA,ANEC_slave_CA,ANEC_exp,anec
TTLwait,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
TTLwait,PSTAT___run_CA,ANEC_slave_photo_CA,ANEC_exp,anec
TTLwait,PSTAT___run_CA,ECHE_slave_CA,ECHE_exp,eche
TTLwait,PSTAT___run_CA,ECHE_slave_CA_led,ECHE_exp,eche
TTLwait,PSTAT___run_CA,ECHE_slave_CA_led_secondtrigger,ECHE_exp,eche
TTLwait,PSTAT___run_CP,ECHE_slave_CP,ECHE_exp,eche
TTLwait,PSTAT___run_CP,ECHE_slave_CP_led,ECHE_exp,eche
TTLwait,PSTAT___run_CP,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
TTLwait,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
TTLwait,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
TTLwait,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
TTLwait,PSTAT___run_CP,ECHE_slave_background,ECHE_exp,eche
TTLwait,PSTAT___run_OCV,debug,ADSS_exp,adss
Tval__s,PSTAT___run_CA,ADSS_slave_CA,ADSS_exp,adss
Tval__s,PSTAT___run_OCV,ADSS_slave_CA,ADSS_exp,adss
Tval__s,PSTAT___run_CA,ANEC_slave_CA,ANEC_exp,anec
Tval__s,PSTAT___run_CA,ANEC_slave_photo_CA,ANEC_exp,anec
Tval__s,PSTAT___run_CA,ECHE_slave_CA,ECHE_exp,eche
Tval__s,PSTAT___run_CA,ECHE_slave_CA_led,ECHE_exp,eche
Tval__s,PSTAT___run_CA,ECHE_slave_CA_led_secondtrigger,ECHE_exp,eche
Tval__s,PSTAT___run_CP,ECHE_slave_CP,ECHE_exp,eche
Tval__s,PSTAT___run_CP,ECHE_slave_CP_led,ECHE_exp,eche
Tval__s,PSTAT___run_CP,ECHE_slave_CP_led_secondtrigger,ECHE_exp,eche
Tval__s,PSTAT___run_CP,ECHE_slave_background,ECHE_exp,eche
Tval__s,PSTAT___run_CP,SIM_measure_CP,simulate_exp,simulate
Tval__s,PSTAT___run_OCV,debug,ADSS_exp,adss
Vapex1__V,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
Vapex1__V,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
Vapex1__V,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
Vapex1__V,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
Vapex1_vsRHE,__EXP__,ECHE_slave_CV,ECHE_exp,eche
Vapex1_vsRHE,__EXP__,ECHE_slave_CV_led,ECHE_exp,eche
Vapex1_vsRHE,__EXP__,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
Vapex2__V,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
Vapex2__V,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
Vapex2__V,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
Vapex2__V,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
Vapex2_vsRHE,__EXP__,ECHE_slave_CV,ECHE_exp,eche
Vapex2_vsRHE,__EXP__,ECHE_slave_CV_led,ECHE_exp,eche
Vapex2_vsRHE,__EXP__,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
Vfinal__V,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
Vfinal__V,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
Vfinal__V,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
Vfinal__V,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
Vfinal_vsRHE,__EXP__,ECHE_slave_CV,ECHE_exp,eche
Vfinal_vsRHE,__EXP__,ECHE_slave_CV_led,ECHE_exp,eche
Vfinal_vsRHE,__EXP__,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
Vinit__V,PSTAT___run_CV,ANEC_slave_CV,ANEC_exp,anec
Vinit__V,PSTAT___run_CV,ECHE_slave_CV,ECHE_exp,eche
Vinit__V,PSTAT___run_CV,ECHE_slave_CV_led,ECHE_exp,eche
Vinit__V,PSTAT___run_CV,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
Vinit_vsRHE,__EXP__,ECHE_slave_CV,ECHE_exp,eche
Vinit_vsRHE,__EXP__,ECHE_slave_CV_led,ECHE_exp,eche
Vinit_vsRHE,__EXP__,ECHE_slave_CV_led_secondtrigger,ECHE_exp,eche
